FREQ,REF_AREA,MEASURE,ACTIVITY,STRI_TYPE,OBS_VALUE,TIME_PERIOD
A,ESP,CLAS1_10,_Z,DIGITAL,0,2014
A,ESP,CLAS1_6,_Z,DIGITAL,.1586998105049133,2014
A,ESP,CLAS1_7,_Z,DIGITAL,0,2014
A,ESP,CLAS1_8,_Z,DIGITAL,0,2014
A,ESP,CLAS1_9,_Z,DIGITAL,0,2014
A,ESP,STRI,_Z,DIGITAL,.1586998105049133,2014
A,EST,CLAS1_10,_Z,DIGITAL,0,2014
A,EST,CLAS1_6,_Z,DIGITAL,0,2014
A,EST,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,EST,CLAS1_8,_Z,DIGITAL,0,2014
A,EST,CLAS1_9,_Z,DIGITAL,0,2014
A,EST,STRI,_Z,DIGITAL,.0212373677641153,2014
A,ETH,CLAS1_10,_Z,DIGITAL,.0439087674021721,2014
A,ETH,CLAS1_6,_Z,DIGITAL,.3967495262622833,2014
A,ETH,CLAS1_7,_Z,DIGITAL,.063712103292346,2014
A,ETH,CLAS1_8,_Z,DIGITAL,.0552103277295828,2014
A,ETH,CLAS1_9,_Z,DIGITAL,.0216470900923014,2014
A,ETH,STRI,_Z,DIGITAL,.5812278389930725,2014
A,FIN,CLAS1_10,_Z,DIGITAL,0,2014
A,FIN,CLAS1_6,_Z,DIGITAL,0,2014
A,FIN,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,FIN,CLAS1_8,_Z,DIGITAL,.0184034425765276,2014
A,FIN,CLAS1_9,_Z,DIGITAL,0,2014
A,FIN,STRI,_Z,DIGITAL,.0396408103406429,2014
A,FRA,CLAS1_10,_Z,DIGITAL,.021954383701086,2014
A,FRA,CLAS1_6,_Z,DIGITAL,0,2014
A,FRA,CLAS1_7,_Z,DIGITAL,.0424747355282307,2014
A,FRA,CLAS1_8,_Z,DIGITAL,.0184034425765276,2014
A,FRA,CLAS1_9,_Z,DIGITAL,0,2014
A,FRA,STRI,_Z,DIGITAL,.0828325599431992,2014
A,GBR,CLAS1_10,_Z,DIGITAL,0,2014
A,GBR,CLAS1_6,_Z,DIGITAL,0,2014
A,GBR,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,GBR,CLAS1_8,_Z,DIGITAL,0,2014
A,GBR,CLAS1_9,_Z,DIGITAL,0,2014
A,GBR,STRI,_Z,DIGITAL,.0212373677641153,2014
A,GMB,CLAS1_10,_Z,DIGITAL,.021954383701086,2014
A,GMB,CLAS1_6,_Z,DIGITAL,.119024857878685,2014
A,GMB,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,GMB,CLAS1_8,_Z,DIGITAL,.0184034425765276,2014
A,GMB,CLAS1_9,_Z,DIGITAL,0,2014
A,GMB,STRI,_Z,DIGITAL,.1806200593709946,2014
A,GRC,CLAS1_10,_Z,DIGITAL,.021954383701086,2014
A,GRC,CLAS1_6,_Z,DIGITAL,.0793499052524567,2014
A,GRC,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,GRC,CLAS1_8,_Z,DIGITAL,0,2014
A,GRC,CLAS1_9,_Z,DIGITAL,0,2014
A,GRC,STRI,_Z,DIGITAL,.1225416511297226,2014
A,GTM,CLAS1_10,_Z,DIGITAL,.0439087674021721,2014
A,GTM,CLAS1_6,_Z,DIGITAL,.0793499052524567,2014
A,GTM,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,GTM,CLAS1_8,_Z,DIGITAL,0,2014
A,GTM,CLAS1_9,_Z,DIGITAL,0,2014
A,GTM,STRI,_Z,DIGITAL,.1444960385560989,2014
A,HND,CLAS1_10,_Z,DIGITAL,.021954383701086,2014
A,HND,CLAS1_6,_Z,DIGITAL,.0793499052524567,2014
A,HND,CLAS1_7,_Z,DIGITAL,0,2014
A,HND,CLAS1_8,_Z,DIGITAL,0,2014
A,HND,CLAS1_9,_Z,DIGITAL,0,2014
A,HND,STRI,_Z,DIGITAL,.101304292678833,2014
A,HUN,CLAS1_10,_Z,DIGITAL,.021954383701086,2014
A,HUN,CLAS1_6,_Z,DIGITAL,.0396749526262283,2014
A,HUN,CLAS1_7,_Z,DIGITAL,.0424747355282307,2014
A,HUN,CLAS1_8,_Z,DIGITAL,0,2014
A,HUN,CLAS1_9,_Z,DIGITAL,0,2014
A,HUN,STRI,_Z,DIGITAL,.104104071855545,2014
A,IDN,CLAS1_10,_Z,DIGITAL,.0658631511032581,2014
A,IDN,CLAS1_6,_Z,DIGITAL,.119024857878685,2014
A,IDN,CLAS1_7,_Z,DIGITAL,.063712103292346,2014
A,IDN,CLAS1_8,_Z,DIGITAL,.0184034425765276,2014
A,IDN,CLAS1_9,_Z,DIGITAL,0,2014
A,IDN,STRI,_Z,DIGITAL,.2670035660266876,2014
A,IND,CLAS1_10,_Z,DIGITAL,.021954383701086,2014
A,IND,CLAS1_6,_Z,DIGITAL,.0793499052524567,2014
A,IND,CLAS1_7,_Z,DIGITAL,.0424747355282307,2014
A,IND,CLAS1_8,_Z,DIGITAL,.0552103277295828,2014
A,IND,CLAS1_9,_Z,DIGITAL,0,2014
A,IND,STRI,_Z,DIGITAL,.1989893466234207,2014
A,IRL,CLAS1_10,_Z,DIGITAL,0,2014
A,IRL,CLAS1_6,_Z,DIGITAL,.0396749526262283,2014
A,IRL,CLAS1_7,_Z,DIGITAL,.0424747355282307,2014
A,IRL,CLAS1_8,_Z,DIGITAL,0,2014
A,IRL,CLAS1_9,_Z,DIGITAL,0,2014
A,IRL,STRI,_Z,DIGITAL,.0821496844291687,2014
A,ISL,CLAS1_10,_Z,DIGITAL,.0439087674021721,2014
A,ISL,CLAS1_6,_Z,DIGITAL,0,2014
A,ISL,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,ISL,CLAS1_8,_Z,DIGITAL,0,2014
A,ISL,CLAS1_9,_Z,DIGITAL,.0432941801846027,2014
A,ISL,STRI,_Z,DIGITAL,.1084403172135353,2014
A,ISR,CLAS1_10,_Z,DIGITAL,0,2014
A,ISR,CLAS1_6,_Z,DIGITAL,.119024857878685,2014
A,ISR,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,ISR,CLAS1_8,_Z,DIGITAL,0,2014
A,ISR,CLAS1_9,_Z,DIGITAL,0,2014
A,ISR,STRI,_Z,DIGITAL,.1402622312307358,2014
A,ITA,CLAS1_10,_Z,DIGITAL,.021954383701086,2014
A,ITA,CLAS1_6,_Z,DIGITAL,0,2014
A,ITA,CLAS1_7,_Z,DIGITAL,.0424747355282307,2014
A,ITA,CLAS1_8,_Z,DIGITAL,0,2014
A,ITA,CLAS1_9,_Z,DIGITAL,0,2014
A,ITA,STRI,_Z,DIGITAL,.0644291192293167,2014
A,JPN,CLAS1_10,_Z,DIGITAL,0,2014
A,JPN,CLAS1_6,_Z,DIGITAL,0,2014
A,JPN,CLAS1_7,_Z,DIGITAL,.0424747355282307,2014
A,JPN,CLAS1_8,_Z,DIGITAL,0,2014
A,JPN,CLAS1_9,_Z,DIGITAL,0,2014
A,JPN,STRI,_Z,DIGITAL,.0424747355282307,2014
A,KAZ,CLAS1_10,_Z,DIGITAL,.0878175348043442,2014
A,KAZ,CLAS1_6,_Z,DIGITAL,0,2014
A,KAZ,CLAS1_7,_Z,DIGITAL,.0424747355282307,2014
A,KAZ,CLAS1_8,_Z,DIGITAL,.0184034425765276,2014
A,KAZ,CLAS1_9,_Z,DIGITAL,0,2014
A,KAZ,STRI,_Z,DIGITAL,.148695707321167,2014
A,KEN,CLAS1_10,_Z,DIGITAL,.0439087674021721,2014
A,KEN,CLAS1_6,_Z,DIGITAL,.0793499052524567,2014
A,KEN,CLAS1_7,_Z,DIGITAL,.0424747355282307,2014
A,KEN,CLAS1_8,_Z,DIGITAL,0,2014
